code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb_x,mktcap,nmc,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb_y,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603999 ,读者传媒,5.482,6.35,6.27,6.62,6.15,6.02,35067423.0,6.08809,226239993.0,90.714,2.173,365760.0,365760.0,出版业,甘肃,234.51,5.76,5.76,20.51,12.0,1.98,2.45,0.43,0.006,2.92,2.06,20151210.0,7.51,1.3,-0.99,56.87,21.81,2.69,34754.0
603998 ,方盛制药,0.627,6.42,6.42,6.47,6.35,6.38,5508563.0,1.29553,35334770.0,37.765,2.6,281082.18624,272976.29424,中成药,湖南,29.19,4.25,4.38,16.81,7.0,4.03,1.56,0.36,0.06,2.47,2.58,20141205.0,4.76,1.09,-4.07,2.38,71.87,10.02,21979.0
603997 ,继峰股份,-0.265,7.54,7.62,7.62,7.52,7.56,851100.0,0.13470000000000001,6437291.0,15.817,2.672,482117.5528,476430.6209,汽车配件,浙江,20.37,6.32,6.39,25.74,18.26,4.83,2.62,0.41,0.09300000000000001,3.02,2.5,20150302.0,9.22,1.44,0.33,-24.27,31.95,11.62,20691.0
603996 ,ST中新,0.847,4.76,4.72,4.78,4.72,4.72,2031669.0,0.67688,9661000.0,-18.308,1.057,142871.4,142871.4,家用电器,浙江,0.0,3.0,3.0,40.54,34.32,5.19,5.57,1.86,-0.172,4.5,1.05,20151222.0,4.14,1.38,-79.06,-482.01,2.7,-14.19,22600.0
603996 ,ST中新,0.847,4.76,4.72,4.78,4.72,4.72,2031669.0,0.67688,9661000.0,-18.308,1.057,142871.4,142871.4,家用电器,浙江,0.0,3.0,3.0,40.54,34.32,5.19,5.57,1.86,-0.172,4.5,1.05,20151222.0,4.14,1.38,-79.06,-482.01,2.7,-14.19,22600.0
603993 ,洛阳钼业,0.266,3.77,3.74,3.82,3.72,3.76,97027689.0,0.5492400000000001,365918915.0,17.535,1.998,8142913.699791,6659996.263791,小金属,河南,63.08,176.66,215.99,1042.92,429.7,230.82,275.83,1.28,0.015,1.89,1.99,20121009.0,90.04,0.42,-39.75,-79.2,15.11,7.19,324955.0
603991 ,至正股份,0.157,19.14,19.2,19.3,19.0,19.11,518500.0,1.2622,9897701.0,37.529,2.878,142659.986172,78625.049052,塑料,上海,95.91,0.41,0.75,8.29,5.18,2.18,2.48,3.32,0.05,6.65,2.87,20170308.0,1.56,2.09,33.87,-44.42,15.55,2.81,7655.0
603990 ,麦迪科技,0.567,28.36,28.27,29.21,28.07,28.2,1065554.0,1.26279,30444851.0,41.101,4.884,320152.529032,239303.9488,软件服务,江苏,0.0,0.84,1.13,6.62,4.03,2.18,1.68,1.49,-0.036000000000000004,4.15,6.8,20161208.0,2.13,1.89,12.56,16.46,73.13,-10.01,3562.0
603989 ,艾华集团,-0.1,19.99,19.9,20.14,19.75,20.01,1061396.0,0.27215,21131843.0,25.961,3.9939999999999998,779614.321838,779614.321838,元器件,湖南,33.3,3.9,3.9,32.71,22.38,8.0,8.37,2.15,0.15,5.01,4.0,20150515.0,5.7,1.46,22.73,14.53,26.79,11.18,12286.0
603988 ,中电电机,-1.636,10.22,10.41,10.48,10.2,10.39,1525164.0,0.6484500000000001,15709553.0,48.667,3.89,240374.4,240374.4,电气设备,江苏,33.4,2.35,2.35,8.7,7.28,0.91,1.73,0.73,0.156,2.63,3.95,20141104.0,1.75,0.74,18.88,38.17,32.1,15.28,14058.0
603987 ,康德莱,-0.392,7.62,7.68,7.69,7.6,7.65,2087430.0,0.79995,15945164.0,23.091,2.395,336506.058,198839.03844,医疗保健,上海,26.99,2.66,4.42,21.64,12.37,7.12,4.14,0.94,0.071,3.18,2.4,20161121.0,4.89,1.11,10.56,28.02,35.05,8.88,24061.0
603986 ,兆易创新,2.045,103.3,103.0,104.84,102.0,101.23,5067757.0,1.79569,524835701.0,71.736,14.717,3311164.18219,2915313.96468,半导体,北京,204.46,2.82,3.21,27.67,16.17,2.47,7.64,2.38,0.14,7.02,14.42,20160818.0,10.95,3.42,-15.73,-55.58,38.48,8.69,30793.0
603985 ,恒润股份,3.085,15.37,14.86,15.4,14.8,14.91,868970.0,0.9325300000000001,13293319.0,11.575,1.421,223787.2,143223.808,机械基件,江苏,23.68,0.93,1.46,18.25,10.7,4.42,5.8,3.98,0.157,7.72,1.93,20170505.0,4.24,2.91,21.43,-14.82,22.75,8.69,7771.0
603983 ,丸美股份,-3.08,43.74,44.6,45.44,43.38,45.13,3269462.0,7.9743,145061614.0,38.035,10.54,1753974.0,179334.0,日用化工,广东,37.64,0.41,4.01,21.58,18.35,2.57,0.16,0.04,0.3,5.7,7.92,20190725.0,9.52,2.37,0.0,0.0,66.4,32.95,42000.0
